Source,Protein,UniProt,Species,Domain Start,Domain Stop,Length (aa),Class,Class (new),Mods,Evidence,,,
https://portlandpress.com/biochemj/article/421/2/253/44983/Kinetic-analysis-of-human-protein-arginine-N,PRMT2,P55345,Human,1,433,433,HMTase,HRMT,H4R3me,In vitro,,,
https://portlandpress.com/biochemj/article/421/2/253/44983/Kinetic-analysis-of-human-protein-arginine-N,CARM1,Q86X55,Human,1,608,608,HMTase,HRMT,H3R17me,In vitro,Domain transferred from mouse,,
http://genesdev.cshlp.org/content/21/24/3369.long,PRMT6,Q96LA8,Human,1,375,375,HMTase,HRMT,H3R2me,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S0021925818460978?via%3Dihub,PRMT8,Q9NR22,Human,61,394,334,HMTase,HRMT,HRme,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S0021925820762356?via%3Dihub,PRMT7,Q9NVM4,Human,1,692,692,HMTase,HRMT,HRme,In vitro,,,
https://pubs.acs.org/doi/10.1021/bi8011725,DNMT1,P26358,Human,581,1616,1036,MTase,DNMT,meCpG,In vitro,,,
https://www.jbc.org/article/S0021-9258(20)84882-0/fulltext,DNMT3A,Q9Y6K1,Human,612,912,301,MTase,DNMT,meCpG,In vitro,Domain transferred from mouse,,
https://www.jbc.org/article/S0021-9258(20)84882-0/fulltext,DNMT3B,Q9UBC3,Human,553,853,301,MTase,DNMT,meCpG,In vitro,Domain transferred from mouse,,
https://www.nature.com/articles/ncomms12284#MOESM748,DOT1L,Q8TEK3,Human,1,430,430,HMTase,HKMT,H3K79me3,In vivo,,,
https://academic.oup.com/nar/article/45/4/1703/2605790,DNMT3A-3L,DNMT3A-3L,Human,1,543,543,MTase,DNMT,meCpG,In vivo ,,,
https://www.sciencedirect.com/science/article/pii/S009286740701611X?via%3Dihub,CHEK1,O14757,Human,1,476,476,HK,HK,H3T11p,In vitro,Domain transferred from mouse,,
https://journals.asm.org/doi/10.1128/MCB.22.3.874-885.2002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,AURKA,O14965,Human,1,403,403,HK,HK,H3S10p,In vitro,,,
https://journals.asm.org/doi/10.1128/MCB.22.3.874-885.2002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,AURKB,Q96GD4,Human,1,344,344,HK,HK,H3S10p,In vitro,,,
https://journals.asm.org/doi/10.1128/MCB.22.3.874-885.2002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,AURKC,Q9UQB9,Human,1,309,309,HK,HK,H3S10p,In vitro,,,
https://www.nature.com/articles/nature07668,BAZ1B,Q9UIG0,Human,1,345,345,HK,HK,H2A.X Y142p,In vitro,,,
https://www.pnas.org/content/106/48/20198.long,HASPIN,Q8TF76,Human,470,798,329,HK,HK,H3T3p,In vitro,,,
https://www.nature.com/articles/nsmb.2099#Sec15,JAK2-JH1,O60674,Human,836,1132,297,HK,HK,H3Y41p,In vitro,https://www.nature.com/articles/nature08448,,
https://www.nature.com/articles/nsmb.2099#Sec15,JAK2-JH2,O60674,Human,482,813,332,HK,HK,H3Y41p,In vitro,https://www.nature.com/articles/nature08448,,
https://pubmed.ncbi.nlm.nih.gov/10467162/,PKN1,Q16512,Human,601,942,342,HK,HK,H3T11p,In vitro,https://pubmed.ncbi.nlm.nih.gov/18066052/,,
https://www.jbc.org/article/S0021-9258(20)79839-X/fulltext,PRKAA1,Q13131,Human,10,321,312,HK,HK,H2BS36p,In vitro,https://www.science.org/doi/10.1126/science.1191241?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,
https://www.jbc.org/article/S0021-9258(20)79839-X/fulltext,PRKAA2,P54646,Human,1,310,310,HK,HK,H2BS36p,Similarity/In vitro,"Paper deleted AIS, leaving some of C-term",,
https://journals.asm.org/doi/10.1128/MCB.00018-07?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,VRK1,Q99986,Human,1,396,396,HK,HK,"H3T3p, H3S10p",In vitro,,,
https://www.nature.com/articles/s41467-021-21188-2,MSK1,O75582,Human,42,802,761,HK,HK,"H3S10p, H3S28ph",In vivo,,,
https://pubmed.ncbi.nlm.nih.gov/33326746/,DMD,P11532,Human,1600,1999,400,Control,Control,None,Recruitment,Chose region with neutral activity from Josh's tiling screen,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4420636/,HSF1,Q00613,Human,406,529,124,Control,Control,+,Recruitment,,,
https://pubmed.ncbi.nlm.nih.gov/33326746/,RYBP,Q8N488,Human,1,228,228,Control,Control,-,Recruitment,,,
,PRDM5,Q9NQX1,Human,1,183,183,SET,HKMT,N/R,Predicted,Predicted from PRDM2,,
,PRDM10,Q9NQV6,Human,162,345,184,SET,HKMT,N/R,Predicted,,,
,PRDM13,Q9H4Q3,Human,1,190,190,SET,HKMT,N/R,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/22939622/,MECOM,Q03112,Human,51,249,199,SET,HKMT,H3K9me1,Predicted,Predicted from PRDM2,Inferred from mouse,
https://doi-org.libproxy.berkeley.edu/10.1016/j.bbrc.2009.07.134,PRDM8,Q9NQV8,Human,1,200,200,SET,HKMT,H3K9me,Predicted,Inferred from mouse,,
https://pubmed.ncbi.nlm.nih.gov/22323599,EZH2,Q15910,Human,528,746,219,SET,HKMT,H3K27me1/2/3,Predicted,Predicted from KMT2A,,
,PRDM11,Q9NQV5,Human,97,319,223,SET,HKMT,N/R,Predicted,,,
,PRDM4,Q9UKN5,Human,364,588,225,SET,HKMT,N/R,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/17662997,PRDM6,Q9NQX0,Human,199,424,226,SET,HKMT,H4K20me,Predicted,Inferred from mouse,,
,PRDM14,Q9GZV8,Human,199,426,228,SET,HKMT,N/R,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/19026781,EZH1,Q92800,Human,513,747,235,SET,HKMT,H3K27me1/2/3,Predicted,Predicted from SETD1B,,
https://pubmed.ncbi.nlm.nih.gov/31515109,SETD5,Q9C0A6,Human,172,416,245,SET,HKMT,"H3K36me3, H3K9me1",Predicted,Predicted from SETD1B,Inferred from mouse,https://pubmed.ncbi.nlm.nih.gov/22939622
,PRDM1,O75626,Human,1,260,260,SET,HKMT,N/R,Predicted,Took up to ~60aa after SET domain,,
,PRDM12,Q9H4Q4,Human,1,262,262,SET,HKMT,N/R,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/22939622,PRDM16,Q9HAZ2,Human,1,270,270,SET,HKMT,H3K9me1,Predicted,Inferred from mouse,,
https://www.bmbreports.org/journal/view.html?volume=44&number=8&spage=529,CDK1,P06493,Human,1,297,297,HK,HK,H1p,Predicted,,,
,CDK2,P24941,Human,1,298,298,HK,HK,N/R,Predicted,,,
,SETD9,Q8NE22,Human,1,299,299,SET,HKMT,N/R,Predicted,,,
,PRDM15,P57071,Human,301,600,300,SET,HKMT,N/R,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/21187428,SETMAR,Q53H47,Human,1,310,310,SET,HKMT,H3K36me2,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/23324626,SETD6,Q8TBK2,Human,1,310,310,SET,HKMT,H2AZK8me1,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/31376731,SETD4,Q9NVD3,Human,1,310,310,SET,HKMT,"H3K4me1/2, H4K20me3",Predicted,Inferred from mouse,https://pubmed.ncbi.nlm.nih.gov/31308046,
https://pubmed.ncbi.nlm.nih.gov/20228790,PRKCB,P05771,Human,300,671,372,HK,HK,H3T6p,Predicted,Mod prevents H3K4 demethylation,,
,PRKCA,P17252,Human,300,672,373,HK,HK,N/R,Predicted,,,
https://pubmed.ncbi.nlm.nih.gov/24140421,DCAF1,Q9Y4B6,Human,120,520,401,HK,HK,H2AT120p,Predicted,,,
,TAF1L,Q8IZX4,Human,536,995,460,HAT,HAT,H3ac,Predicted,Predicted from TAF1,Inferred from TAF1,
https://pubmed.ncbi.nlm.nih.gov/20404330,SETDB2,Q96T68,Human,250,719,470,SET,HKMT,H3K9me3,Predicted,,,
,CDY2,Q9Y6F7,Human,1,541,541,HAT,HAT,N/R,Predicted,Predicted from CDY1,,
https://pubmed.ncbi.nlm.nih.gov/12869583,SETDB1,Q15047,Human,700,1291,592,SET,HKMT,H3K9me3,Predicted,,,
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007578,SMYD4,Q8IYR2,Human,1,804,804,SET,HKMT,H3K4me2/3,Predicted,Inferred from zebrafish,,
